Year;Rank;Name;Citizenship;Country Code;Net Worth Billion;Age;Industry Aggregates;Selfmade;Generation of Inheritance;Type of Wealth;Industry;Relationship to Company;Gender;Source of Wealth;Sector;Company;Company type;Founding Date;Political Connection;GDP Currentus;Region;Notes;Notes 2;Deflator 1996;Real Net Worth;Characteristics
2001;312;Didier Primat;France;FRA;1.60000002384;56.0;Resource Related;inherited;Third generation;inherited;Energy;relation;male;;oil field services;Schlumberger;new;1920;;1382218344520.0;Europe;3rd generation;;109.114585876;1.46634840965;North,Founder,Real Billionaires
2014;988;Dinara Kulibaeva;Kazakhstan;KAZ;1.8;46.0;Financial;self-made;;privatized and resources;Money Management;owner;female;banking;banking;Halyk Bank;privatization;1923;1.0;;South Asia;daughter of Kazakhstan's president;;138.802093506;1.29681038857;North,Founder,Real Billionaires
2014;69;Donald Bren;United States;USA;14.4;81.0;Financial;self-made;;self-made finance;Real Estate;owner;male;real estate;real estate;Irvine Company;aquired;1864;;;North America;his original company was the Bren Company in 1958;;138.802093506;10.3744831085;North,Founder,Real Billionaires
2014;483;Doris Fisher;United States;USA;3.3;82.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;female;Gap;clothing;The Gap;new;1969;;;North America;;;138.802093506;2.37748575211;North,Founder,Real Billionaires
1996;318;Dorrance Hill Hamilton;United States;USA;1.29999995232;0.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;female;;soup;Campbell Soup;aquired;1869;;8100200000000.0;North America;3rd generation;;100.000007629;1.29999983311;North,Founder,Real Billionaires
2014;1284;Du Jiangtao;China;CHN;1.3;44.0;Traded Sectors;self-made;;executive;Non-consumer industrial;chairman;male;chemicals;chemicals;Inner Mongolia Junzhen Energy and Chemical Industry;new;2003;;;East Asia;;;;;North,Founder
2001;421;Edward Bass;United States;USA;1.20000004768;56.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;;oil;Sid Richardson Gasoline Co;new;1919;;10621824000000.0;North America;inherited from uncle/father;;109.114585876;1.09976136684;North,Founder,Real Billionaires
2001;452;Edward Rogers;Canada;CAN;1.10000002384;67.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;media;Rogers Communications;new;1962;;732716942149.0;North America;father invented first AC radio tube, but died unexpectedly when Rogers was a child, losing his business interests.  Son just went into same business as father.;;109.114585876;1.00811457634;North,Founder,Real Billionaires
1996;155;Eitaro Itoyama;Japan;JPN;2.29999995232;53.0;Financial;self-made;;self-made finance;Real Estate;;male;;golf courses;;;;;4706187126020.0;East Asia;1974 bribery scandal that resulted in the arrests of more than 90 people, including a senior vice president of Itoyama's company;;100.000007629;2.2999997139;North,Founder,Real Billionaires
2014;354;Elizabeth Mohn;Germany;DEU;4.2;73.0;Non-Traded Sectors;inherited;spouse or widow;inherited;Media;relation;female;media;media;Bertelsmann;new;1835;;;Europe;widowed, not part of founding of business;;;;North,Founder
1996;407;Eric Andre;Switzerland;CHE;1.0;0.0;Financial;inherited;Third generation;inherited;Money Management;relation;male;;grain;Andre & Cie;new;1877;;329619336570.0;Europe;3rd generation;;100.000007629;0.999999940395;North,Founder,Real Billionaires
2014;731;Esther Grether;Switzerland;CHE;2.4;78.0;Traded Sectors;inherited;spouse or widow;inherited;Consumer;relation;female;art collection, Swatch;beauty and health care products;Doetsch Grether;new;1899;;;Europe;widow;;;;North,Founder
2014;1154;Farris Wilks;United States;USA;1.5;62.0;Resource Related;self-made;;privatized and resources;Energy;founder;male;natural gas;natural gas;Frac Tech;new;2002;;;North America;;;138.802093506;1.08067536354;North,Founder,Real Billionaires
1996;343;Fayez Sarofim;United States;USA;1.20000004768;67.0;Financial;self-made;;self-made finance;Money Management;relation;male;;money management;Fayez Sarofim & Co;new;1958;;8100200000000.0;North America;inherited title from family, built fortune;;100.000007629;1.19999992847;North,Founder,Real Billionaires
2001;387;Francesco Micheli;Italy;ITA;1.29999995232;;Financial;self-made;;self-made finance;Money Management;chairman;male;;new technology;e.Biscom-Fastweb;new;1999;;1162784608500.0;Europe;;;109.114585876;1.19140803814;North,Founder,Real Billionaires
2014;1284;Frank Stronach;Canada;CAN;1.3;81.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;auto parts;automotive parts;Manga International;new;1956;;;North America;;;138.802093506;0.936585247517;North,Founder,Real Billionaires
2014;551;Fred DeLuca;United States;USA;3.0;66.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;Subway Restaurants;restaurant;Subway;new;1965;;;North America;;;138.802093506;2.16135072708;North,Founder,Real Billionaires
2001;421;Frederick Field;United States;USA;1.20000004768;48.0;Non-Traded Sectors;inherited;Fifth generation or longer;inherited;Retail, Restaurant;relation;male;;retail;Marshall Field and Company;new;1865;;10621824000000.0;North America;5th generation;;109.114585876;1.09976136684;North,Founder,Real Billionaires
2014;295;Frits Goldschmeding;Netherlands;NLD;4.9;80.0;0.0;self-made;;founder non-finance;Other;founder;male;temp agency;staffing company;Randstad;new;1960;;;Europe;;;138.802093506;3.53020620346;North,Founder,Real Billionaires
2014;931;Fu Meicheng;China;CHN;1.9;56.0;Non-Traded Sectors;self-made;;executive;Media;chairman;male;entertainment;media;Zhejiang Huace Film & TV;new;2005;;;East Asia;;;;;North,Founder
2014;731;George Argyros;United States;USA;2.4;77.0;Financial;self-made;;self-made finance;Real Estate;investor;male;real estate, investments;real estate;Arnel & Affiliates;new;1969;;;North America;;;138.802093506;1.72908055782;North,Founder,Real Billionaires
2014;506;George Lindemann;United States;USA;3.2;77.0;Financial;self-made;;self-made finance;Diversified financial;Chairman and Chief Executive Officer;male;investments;media, pipelines;Vision Cable, Metro Mobile, Southern Union;new;1972;;;North America;;;;;North,Founder
1996;201;George Lucas;United States;USA;2.0;51.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;Star Wars;Lucasfilm;new;1971;;8100200000000.0;North America;;;100.000007629;1.99999988079;North,Founder,Real Billionaires
2001;45;Gerald Cavendish Grosvenor;United Kingdom;GBR;6.5;49.0;Financial;inherited;Fifth generation or longer;inherited;Real Estate;relation;male;;real estate;Grosvenor Group;new;1677;;1529094573200.0;Europe;duke of westminster;two sisters, again did not inherit title because of patralinial heritage;109.114585876;5.95704030991;North,Founder,Real Billionaires
2014;141;Gerard Wertheimer;France;FRA;9.0;63.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;male;Chanel;luxury goods;Chanel;new;1909;;;Europe;3rd generation;;138.802093506;6.48405218124;North,Founder,Real Billionaires
2014;1210;Gian Marco Moratti;Italy;ITA;1.4;77.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;oil;oil;Saras SPA;new;1962;;;Europe;inherited from father;;138.802093506;1.00863027573;North,Founder,Real Billionaires
2014;430;God Nisanov;Russia;RUS;3.6;41.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Kiyevskaya Ploshad;;;;;Europe;;;138.802093506;2.59362077713;North,Founder,Real Billionaires
2001;198;Gordon Getty;United States;USA;2.29999995232;60.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;;oil;Getty;new;1904;;10621824000000.0;North America;inherited from father;;109.114585876;2.10787582397;North,Founder,Real Billionaires
2014;1154;Gregorio Perez Companc;Argentina;ARG;1.5;78.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;oil and gas;oil;Petrolera Perez Companc;new;1968;;;Latin America;inherited from father;;138.802093506;1.08067536354;North,Founder,Real Billionaires
1996;113;Gunter Herz;Germany;DEU;2.70000004768;55.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;coffee;Maxingvest AG;new;1949;;2501572654020.0;Europe;inherited from father;;100.000007629;2.69999980927;North,Founder,Real Billionaires
2014;375;Gustavo Cisneros;Venezuela;VEN;4.0;68.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;media;media;Cisneros Group;new;1929;;;Latin America;father gained Pepsi concession in 1940 and concession for private TV channel in 1961;;;;North,Founder
1996;10;Hans and Gad Rausing;Sweden;SWE;9.0;0.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;food packaging;Tetra Pak;new;1951;;288103936773.0;Europe;inherited from father;;100.000007629;8.99999904633;North,Founder,Real Billionaires
2001;421;Harold Lenfest;United States;USA;1.20000004768;;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;media;Lenfest Communications;new;1974;;10621824000000.0;North America;;;109.114585876;1.09976136684;North,Founder,Real Billionaires
2014;551;Harry Stine;United States;USA;3.0;72.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;agriculture;seeds;The Stine Seed Group;new;1965;;;North America;;;138.802093506;2.16135072708;North,Founder,Real Billionaires
2014;1270;Henry Swieca;United States;USA;1.35;56.0;Financial;self-made;;self-made finance;Hedge funds;founder;male;hedge funds;hedge funds;Highbridge Capital Management;new;1992;;;North America;;;138.802093506;0.972607851028;North,Founder,Real Billionaires
2014;132;Hiroshi Mikitani;Japan;JPN;9.3;49.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;online retailing;e-commerce;Rakuten;new;1997;;;East Asia;;;138.802093506;6.70018720627;North,Founder,Real Billionaires
2014;1154;Huang Shih Tsai;Hong Kong;HKG;1.5;62.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Greater China International Investment Group;new;1990;;;East Asia;;;138.802093506;1.08067536354;North,Founder,Real Billionaires
2001;234;Hubert Burda;Germany;DEU;2.0;61.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;;media;Hubert Burda Media;new;1898;;1947928411630.0;Europe;company expanded between 1898 and 1945;;109.114585876;1.83293557167;North,Founder,Real Billionaires
2014;1565;Huo Qinghua;China;CHN;1.0;52.0;Resource Related;self-made;;privatized and resources;Mining and metals;chairman;male;coal;coal;China Kingho;new;1996;;;East Asia;;;138.802093506;0.720450222492;North,Founder,Real Billionaires
2001;17;Ingvar Kamprad;Sweden;SWE;13.0;74.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;;furniture;IKEA;new;1943;;239917320967.0;Europe;;;109.114585876;11.9140806198;North,Founder,Real Billionaires
2001;251;Masao Morita;Japan;JPN;1.89999997616;;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;;electronics;Sony;new;1947;;4159859918090.0;East Asia;inherited from father;;109.114585876;1.74128866196;North,Founder,Real Billionaires
2014;1210;Michael Ashcroft;United Kingdom;GBR;1.4;68.0;0.0;self-made;;founder non-finance;Other;founder;male;security;investments;Michael A. Ashcroft Associates;new;1972;;;Europe;;;138.802093506;1.00863027573;North,Founder,Real Billionaires
2014;328;Michael Herz;Germany;DEU;4.5;70.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;coffee;coffee;Maxingvest AG;new;1949;;;Europe;inherited from father;;138.802093506;3.24202609062;North,Founder,Real Billionaires
2014;153;Michael Kadoorie;Hong Kong;HKG;8.5;72.0;Financial;inherited;inherited from father;inherited;Diversified financial;relation;male;diversified;utilities;CLP Holdings;new;1901;;;East Asia;inherited from father;;;;North,Founder
1996;27;Michael Otto;Germany;DEU;5.19999980927;52.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;male;;mail order retail;Otto Group;new;1950;;2501572654020.0;Europe;inherited from father;has sisters;100.000007629;5.19999933243;North,Founder,Real Billionaires
2001;70;Michael Otto;Germany;DEU;5.0;57.0;Non-Traded Sectors;inherited;Third generation;inherited;Retail, Restaurant;relation;male;;retail;Metro AG;new;1923;;1947928411630.0;Europe;3rd generation;shares not transferred to sister;109.114585876;4.58233880997;North,Founder,Real Billionaires
1996;89;Michael and Rainer Schmidt-Ruthenbeck;;DEU;3.09999990463;0.0;Non-Traded Sectors;inherited;Third generation;inherited;Retail, Restaurant;relation;male;;retail;Metro AG;new;1923;;2501572654020.0;Europe;3rd generation;shares not transferred to sister;100.000007629;3.09999966621;North,Founder,Real Billionaires
2014;764;Michal Solowow;Poland;POL;2.3;51.0;Financial;self-made;;self-made finance;Diversified financial;investor;male;investments;chemicals;Synthos;aquired;1945;;;Europe;;;138.802093506;1.65703547001;North,Founder,Real Billionaires
2014;281;Micky Jagtiani;India;IND;5.0;62.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;retail;retail;Landmark Group;new;1973;;;South Asia;;;138.802093506;3.60225105286;North,Founder,Real Billionaires
2014;109;Mikhail Prokhorov;Russia;RUS;10.9;48.0;Financial;self-made;;privatized and resources;Diversified financial;owner;male;investments;precious metals;Norilsk Nickel;privatization;1993;;;Europe;;;138.802093506;7.85290718079;North,Founder,Real Billionaires
2014;931;Miloud Chaabi;Morocco;MAR;1.9;85.0;Financial;self-made;;self-made finance;Diversified financial;founder;male;diversified;hotels and supermarkets;Ynna Holding;new;1948;;;Middle East/North Africa;;;138.802093506;1.36885547638;North,Founder,Real Billionaires
2014;1442;Mitchell Jacobson;United States;USA;1.15;62.0;Traded Sectors;inherited;inherited from father;inherited;Non-consumer industrial;relation;male;industrial equipment;industrial equipment;MSC Direct;new;1941;;;North America;inherited from father;;138.802093506;0.828517735004;North,Founder,Real Billionaires
1996;36;Mohamed Salim Bin Mahfouz;Saudi Arabia;SAU;5.0;0.0;Financial;inherited;inherited from father;inherited;Money Management;relation;male;;banking;National Comercial bank of Saudi Arabia;new;1953;1.0;157743128799.0;Middle East/North Africa;inherited from father;father Saudi family's personal banker, ties to al-qaeda;100.000007629;4.99999952316;North,Founder,Real Billionaires
2014;408;Nathan Kirsh;Swaziland;SWZ;3.7;82.0;Non-Traded Sectors;self-made;;executive;Retail, Restaurant;investor;male;retail, real estate;retail;Jetro Holdings;aquired;1990;;;Sub-Saharan Africa;;;138.802093506;2.66566586494;North,Founder,Real Billionaires
2014;1078;Nelson Peltz;United States;USA;1.65;71.0;Financial;self-made;;self-made finance;Diversified financial;founder;male;investments;investment banking;Trian Fund Management;new;2005;;;North America;;;138.802093506;1.18874287605;North,Founder,Real Billionaires
2014;215;Paolo & Gianfelice Mario Rocca;Italy;ITA;6.3;;Traded Sectors;inherited;Third generation;inherited;Non-consumer industrial;relation;male;pipe manufacturing;steel;Techint;new;1945;;;Europe;3rd generation;;138.802093506;4.53883647919;North,Founder,Real Billionaires
2014;1046;Patokh Chodiev;Belgium;BEL;1.7;61.0;Resource Related;self-made;;privatized and resources;Mining and metals;founder;male;mining, metals;metals;Eurasion natural Resources Corporation;new;1994;;;Europe;;;138.802093506;1.22476541996;North,Founder,Real Billionaires
2001;151;A Jerrold Perenchio;United States;USA;3.0;70.0;Non-Traded Sectors;self-made;;executive;Media;former chairman and CEO;male;;media;Univision;aquired;1955;;10621824000000.0;North America;represented Marlon Brando and Elizabeth Taylor;;109.114585876;2.7494032383;North,Founder,Real Billionaires
2014;141;Alain Wertheimer;France;FRA;9.0;65.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;male;Chanel;luxury goods;Chanel;new;1909;;;Europe;3rd generation;;138.802093506;6.48405218124;North,Founder,Real Billionaires
2014;1565;Alberto Alcocer;Spain;ESP;1.0;71.0;Financial;self-made;;self-made finance;Diversified financial;owner;male;investments;construction;Construcciones y Contratas;aquired;1952;;;Europe;married to Esther Koplowitz;;138.802093506;0.720450222492;North,Founder,Real Billionaires
2014;1210;Alberto Cortina;Spain;ESP;1.4;68.0;Financial;self-made;;self-made finance;Diversified financial;owner;male;investments;construction;Construcciones y Contratas;aquired;1952;;;Europe;marriage to Alicia Koplowitz led to his joining the construction firm;;138.802093506;1.00863027573;North,Founder,Real Billionaires
2014;828;Alexander Dzhaparidze;Russia;RUS;2.1;58.0;Resource Related;self-made;;privatized and resources;Energy;founder;male;oil services;oil services;Petroalliance;new;1995;;;Europe;;;138.802093506;1.51294541359;North,Founder,Real Billionaires
1996;41;Alice Walton;United States;USA;4.69999980927;47.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;female;;retail;Walmart;new;1962;;8100200000000.0;North America;inherited from father;not involved in company;100.000007629;4.69999933243;North,Founder,Real Billionaires
1996;405;Alicia and Esther Koplowitz;Spain;ESP;1.0;0.0;Non-Traded Sectors;inherited;inherited from father;inherited;Constrution;relation;female;;construction;Construcciones y Contratas;aquired;1952;;640998292395.0;Europe;inherited from father;fortune split between her and sister;100.000007629;0.999999940395;North,Founder,Real Billionaires
2014;1465;Aloke Lohia;Thailand;THA;1.1;55.0;Traded Sectors;self-made;;founder non-finance;Non-consumer industrial;founder;male;petrochemicals;polymers;Indorama Ventures;new;1988;;;East Asia;;;138.802093506;0.792495250702;North,Founder,Real Billionaires
1996;149;Andrew Gotianun;Philippines;PHL;2.40000009537;0.0;Financial;self-made;;self-made finance;Real Estate;founder;male;;real estate;Filinvest Development Corporation;new;1955;;82848194405.5;East Asia;;;100.000007629;2.39999985695;North,Founder,Real Billionaires
2014;663;Anita Zucker;United States;USA;2.6;62.0;Traded Sectors;inherited;spouse or widow;inherited;Non-consumer industrial;relation;female;chemicals;retail;Hudson's Bay Company;privatization;1670;;;North America;widowed, took over company from husband;first woman to chair;138.802093506;1.87317049503;North,Founder,Real Billionaires
2001;124;Ann Kroenke;United States;USA;3.40000009537;;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;female;;retail;Walmart;new;1962;;10621824000000.0;North America;inherited from father;;109.114585876;3.11599040031;North,Founder,Real Billionaires
2014;153;Antonia Johnson;Sweden;SWE;8.5;70.0;Financial;inherited;Fourth generation;inherited;Diversified financial;relation;female;diversified;trade investment;Axel Johnson Group;new;1873;;;Europe;4th generation;;138.802093506;6.12382698059;North,Founder,Real Billionaires
2014;828;Antonio Luiz Seabra;Brazil;BRA;2.1;71.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;cosmetics;cosmetics;Natura Cosmeticos;new;1969;;;Latin America;;;138.802093506;1.51294541359;North,Founder,Real Billionaires
2001;490;Barry Diller;United States;USA;1.0;59.0;New Sectors;self-made;;executive;Technology-Computer;Chairman and Chief Executive Officer;male;;media;IAC;new;1986;;10621824000000.0;North America;;;109.114585876;0.916467785835;North,Founder,Real Billionaires
2014;367;Beny Steinmetz;Israel;ISR;4.1;57.0;Resource Related;inherited;inherited from father;inherited;Mining and metals;relation;male;mining, diamonds, real estate;diamonds;Steinmetz Diamond Group and BSGR;new;1940;1.0;;Middle East/North Africa;"under FBI investigation for corruption along with BSGR's rights to half of the iron ore deposits at Simandou Guinea; Steinmetz acquired the rights from the late dictator Lansana Conté for free, after Conté stripped it from Australian mining gia";inherited from father;138.802093506;2.95384597778;North,Founder,Real Billionaires
2014;609;Bernard Broermann;Germany;DEU;2.8;70.0;New Sectors;self-made;;founder non-finance;Technology-Medical;founder;male;healthcare;hospitals;Asklepios Kliniken GmbH;new;1984;;;Europe;;;138.802093506;2.01726055145;North,Founder,Real Billionaires
2014;446;Bernard Marcus;United States;USA;3.5;84.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;Home Depot;home improvement retail;Home Depot;new;1979;;;North America;;;138.802093506;2.52157568932;North,Founder,Real Billionaires
2014;168;Blair Parry-Okeden;United States;USA;7.7;63.0;Non-Traded Sectors;inherited;Third generation;inherited;Media;relation;female;media;media;Cox Enterprises;aquired;1898;;;North America;3rd generation;no role in company;138.802093506;5.54746675491;North,Founder,Real Billionaires
2014;931;Bob Parsons;United States;USA;1.9;63.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;web hosting;internet domain and web hosting;Go Daddy;new;1997;;;North America;;;138.802093506;1.36885547638;North,Founder,Real Billionaires
1996;63;Brenninkmeijer family;Netherlands;NLD;3.79999995232;0.0;Non-Traded Sectors;inherited;;inherited;Retail, Restaurant;relation;;;retail;C&A;new;1841;;442598692810.0;Europe;;;100.000007629;3.7999997139;North,Founder,Real Billionaires
2001;490;Bruce Kovner;United States;USA;1.0;55.0;Financial;self-made;;self-made finance;Hedge funds;founder;male;;commodities trading;Caxton Associates;new;1983;;10621824000000.0;North America;;;109.114585876;0.916467785835;North,Founder,Real Billionaires
2014;305;Bruce Kovner;United States;USA;4.8;69.0;Financial;self-made;;self-made finance;Hedge funds;founder;male;hedge funds;commodities trading;Caxton Associates;new;1983;;;North America;;;138.802093506;3.45816111565;North,Founder,Real Billionaires
2014;869;Cai Dongqing;China;CHN;2.0;44.0;New Sectors;self-made;;executive;Technology-Computer;chairman;male;animation;animation;Guangdong Alpha Animation and Culture Co;new;1999;;;East Asia;;;138.802093506;1.44090044498;North,Founder,Real Billionaires
2014;1078;Carl Ferdinand Oetker;Germany;DEU;1.65;41.0;Traded Sectors;inherited;Fourth generation;inherited;Consumer;relation;male;consumer goods;retail;Oetker-Gruppe;new;1891;;;Europe;4th generation;;138.802093506;1.18874287605;North,Founder,Real Billionaires
2014;988;Carlos Rodriguez-Pastor;Peru;PER;1.8;54.0;Financial;self-made;;privatized and resources;Money Management;owner;male;finance;banking;Interbank Group;privatization;1994;;;Latin America;joined father at company immediately after father's purchase, father died three months later;;138.802093506;1.29681038857;North,Founder,Real Billionaires
1996;18;Carlos Slim Helu;Mexico;MEX;6.09999990463;56.0;Non-Traded Sectors;self-made;;privatized and resources;Media;founder;male;;Communications;Telmex;privatization;1990;;397404138184.0;Latin America;;;100.000007629;6.0999994278;North,Founder,Real Billionaires
2014;1372;Carol Jenkins Barnett;United States;USA;1.2;57.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;female;Publix supermarkets;groceries;Publix Super Markets;new;1930;;;North America;inherited from father;chair of company, has male siblings;138.802093506;0.864540278912;North,Founder,Real Billionaires
2014;122;Carrie Perrodo;France;FRA;10.0;63.0;0.0;inherited;spouse or widow;inherited;Other;relation;female;Inherited;oil;Perenco;new;1975;;;Europe;widow;;;;North,Founder
2001;35;Charles Ergen;United States;USA;8.80000019073;48.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;media;dish networtk;new;1980;;10621824000000.0;North America;;;109.114585876;8.06491661072;North,Founder,Real Billionaires
2001;138;Charles Koch;United States;USA;3.20000004768;65.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;;Oil refining;Koch industries;new;1940;;10621824000000.0;North America;inherited from father;;109.114585876;2.93269681931;North,Founder,Real Billionaires
2014;1465;Charles Munger;United States;USA;1.1;90.0;Traded Sectors;self-made;;executive;Consumer;vice-chairman;male;Berkshire Hathaway;Finance;Berkshire Hathaway;aquired;1839;;;North America;;;138.802093506;0.792495250702;North,Founder,Real Billionaires
1996;369;Charlotte Colket Weber;United States;USA;1.10000002384;35.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;female;;soup;Campbell Soup;aquired;1869;;8100200000000.0;North America;3rd generation;;100.000007629;1.09999990463;North,Founder,Real Billionaires
2014;1540;Cheung Yan;China;CHN;1.05;57.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;female;paper;paper;Nine Dragons Paper;new;1995;;;East Asia;;;138.802093506;0.756472706795;North,Founder,Real Billionaires
2014;1372;Cho Tak Wong;Hong Kong;HKG;1.2;67.0;Traded Sectors;self-made;;executive;Consumer;CEO;male;auto parts;auto glass;Fuyao Glass Industry Group;new;1987;;;East Asia;;;;;North,Founder
2014;1210;Christopher Cline;United States;USA;1.4;56.0;Resource Related;self-made;;privatized and resources;Mining and metals;founder;male;coal;coal;Foresight Reserves;new;1985;;;North America;;;138.802093506;1.00863027573;North,Founder,Real Billionaires
2014;;Cristina Green;;GBR;2.6;;Non-Traded Sectors;self-made;;executive;Retail, Restaurant;owner;female;;fashion retail;Arcadia;aquired;1903;;;Europe;;;;;North,Founder
2014;1284;David Booth;United States;USA;1.3;68.0;Financial;self-made;;self-made finance;Money Management;founder;male;mutual funds;asset management;Dimensional Fund Advisors;new;1981;;;North America;;;138.802093506;0.936585247517;North,Founder,Real Billionaires
1996;342;David Duffield;United States;USA;1.20000004768;55.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;software;PeopleSoft;new;1987;;8100200000000.0;North America;;;100.000007629;1.19999992847;North,Founder,Real Billionaires
2001;138;David Koch;United States;USA;3.20000004768;60.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;;Oil refining;Koch industries;new;1940;;10621824000000.0;North America;inherited from father;;109.114585876;2.93269681931;North,Founder,Real Billionaires
1996;50;Dhanin Chearavanont;Thailand;THA;4.19999980927;56.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;retail;Charoen Pokphand (CP Group);new;1921;;181947631905.0;East Asia;inherited from father;;100.000007629;4.19999933243;North,Founder,Real Billionaires
2014;191;Dietmar Hopp;Germany;DEU;7.0;73.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;software;software;SAP AG;new;1972;;;Europe;;;138.802093506;5.04315137863;North,Founder,Real Billionaires
2014;1210;Dmitry Mazepin;Russia;RUS;1.4;45.0;Traded Sectors;self-made;;founder non-finance;Non-consumer industrial;founder;male;chemicals;fertilizers;Uralchem;new;2004;;;Europe;;;138.802093506;1.00863027573;North,Founder,Real Billionaires
2014;1092;Don Hankey;United States;USA;1.6;70.0;Financial;self-made;;self-made finance;Money Management;founder;male;auto loans;cars, finance;Hankey Group;aquired;1954;;;North America;;;138.802093506;1.15272033215;North,Founder,Real Billionaires
2014;1372;Drew Houston;United States;USA;1.2;30.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;Dropbox;internet company;Dropbox;new;2007;;;North America;;;138.802093506;0.864540278912;North,Founder,Real Billionaires
2001;234;Edward Gaylord;United States;USA;2.0;;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;media;Gaylord Entertainment Company;new;1925;;10621824000000.0;North America;;;109.114585876;1.83293557167;North,Founder,Real Billionaires
2001;79;Edward Johnson;United States;USA;4.59999990463;70.0;Financial;inherited;inherited from father;inherited;Money Management;relation;male;;investment banking;Fidelity Investments;new;1946;;10621824000000.0;North America;inherited from father;;109.114585876;4.21575164795;North,Founder,Real Billionaires
2014;1284;Edward Stack;United States;USA;1.3;59.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;male;Dick's Sporting Goods;retail;Dick's Sporting Goods;new;1948;;;North America;inherited two stores from father;;138.802093506;0.936585247517;North,Founder,Real Billionaires
2014;642;Elaine Wynn;United States;USA;2.7;70.0;Financial;self-made;;self-made finance;Real Estate;founder;female;casinos, hotels;casinos;Wynn Resorts (formarly Mirage Resorts);new;1973;;;North America;;;138.802093506;1.94521570206;North,Founder,Real Billionaires
2014;1284;Elie Horn;Brazil;BRA;1.3;70.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Cyrela Brazil Realty;new;1962;;;Latin America;;;138.802093506;0.936585247517;North,Founder,Real Billionaires
2014;988;Eric Lefkofsky;United States;USA;1.8;44.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;Groupon;internet companies;Groupon;new;2008;;;North America;;;138.802093506;1.29681038857;North,Founder,Real Billionaires
1996;142;Ernesto Bertarelli;Switzerland;CHE;2.5;30.0;New Sectors;inherited;Third generation;inherited;Technology-Medical;relation;male;;pharmaceuticals;Serono;new;1906;;329619336570.0;Europe;3rd generation;inherited along with sister, who isn't on the list;100.000007629;2.49999976158;North,Founder,Real Billionaires
1996;370;Evelyn Danzig Haas;United States;USA;1.10000002384;0.0;Non-Traded Sectors;inherited;spouse or widow;inherited;Retail, Restaurant;relation;female;;jeans;Levi Strauss & co;new;1853;;8100200000000.0;North America;widow;;100.000007629;1.09999990463;North,Founder,Real Billionaires
